Report Date:,28/09/2017 16:18:43
Report User Name:,gvw
Report Computer Name:,DZ0044
Application:,WinSitu.exe
Application Version:,5.6.25.0


Log File Properties
File Name,RN24762_Append_2017-09-27_09-43-49-384.wsl
Create Date,27/09/2017 09:43:49

Device Properties
Device,Level TROLL 300
Site,RN24762  at round about
Device Name,RN011819_T_300_use_B_T_SN_177035
Serial Number,177117
Firmware Version,2.05
Hardware Version,3
Device Address,1
Device Comm Cfg,19200,8,Even,1,(Modbus-RTU)
Used Memory,0
Used Battery,28

Log Configuration
,Log Name,RN24762
,Created By,gvw
,Computer Name,DZ0044
,Application,WinSitu.exe
,Application Version,5.6.25.0
,Create Date,20/04/2016 11:33:47 AUS Central Standard Time
,Log Setup Time Zone,Unknown
,Notes Size(bytes),4096
,Overwrite when full,Disabled
,Scheduled Start Time,20/04/2016 12:00:00 AUS Central Standard Time
,Scheduled Stop Time,No Stop Time
,Type,Linear
 ,Interval,Days: 0 hrs: 01 mins: 00 secs: 00



Level Reference Settings At Log Creation
,        Level Measurement Mode,Level Depth To Water
,              Specific Gravity,0.999
,          Level Reference Mode:,Set first logged value to offset
,        Level Reference Offset:,5.59 (m)


Other Log Settings
,Depth of Probe:,10.3109 (m)
,Head Pressure:,1030.06 (cmH2O)
,Temperature:,34.4233 (C)



Log Data:
Record Count,12598

Sensors,1

 ,1,177117,Pressure/Temp 30 PSIA (10.9m/35.8ft)

Time Zone: AUS Central Standard Time

,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,Sensor: Pres(A) 35.8ft        ,
,SN#: 177117                   ,SN#: 177117                   ,SN#: 177117                   ,
Date and Time,Pressure (cmH2O)              ,Temperature (C)               ,Level Depth To Water (m)      ,
25/04/2016 08:00:00    ,                      1730.840,                        29.860,                         5.667,
25/04/2016 09:00:00    ,                      1730.989,                        29.864,                         5.665,
25/04/2016 10:00:00    ,                      1730.920,                        29.861,                         5.666,
25/04/2016 11:00:00    ,                      1730.324,                        29.865,                         5.672,
25/04/2016 12:00:00    ,                      1729.797,                        29.862,                         5.677,
25/04/2016 13:00:00    ,                      1729.253,                        29.862,                         5.683,
25/04/2016 14:00:00    ,                      1728.915,                        29.862,                         5.686,
25/04/2016 15:00:00    ,                      1728.545,                        29.864,                         5.690,
25/04/2016 16:00:00    ,                      1728.299,                        29.863,                         5.692,
25/04/2016 17:00:00    ,                      1728.307,                        29.865,                         5.692,
25/04/2016 18:00:00    ,                      1728.271,                        29.862,                         5.692,
25/04/2016 19:00:00    ,                      1728.577,                        29.863,                         5.689,
25/04/2016 20:00:00    ,                      1728.690,                        29.863,                         5.688,
25/04/2016 21:00:00    ,                      1729.012,                        29.864,                         5.685,
25/04/2016 22:00:00    ,                      1728.762,                        29.865,                         5.688,
25/04/2016 23:00:00    ,                      1728.839,                        29.863,                         5.687,
26/04/2016 00:00:00    ,                      1728.742,                        29.864,                         5.688,
26/04/2016 01:00:00    ,                      1728.452,                        29.864,                         5.691,
26/04/2016 02:00:00    ,                      1728.065,                        29.864,                         5.695,
26/04/2016 03:00:00    ,                      1727.933,                        29.865,                         5.696,
26/04/2016 04:00:00    ,                      1727.953,                        29.862,                         5.696,
26/04/2016 05:00:00    ,                      1727.780,                        29.865,                         5.697,
26/04/2016 06:00:00    ,                      1727.937,                        29.863,                         5.696,
26/04/2016 07:00:00    ,                      1728.347,                        29.864,                         5.692,
26/04/2016 08:00:00    ,                      1728.464,                        29.865,                         5.691,
26/04/2016 09:00:00    ,                      1728.464,                        29.862,                         5.691,
26/04/2016 10:00:00    ,                      1728.219,                        29.864,                         5.693,
26/04/2016 11:00:00    ,                      1727.561,                        29.866,                         5.700,
26/04/2016 12:00:00    ,                      1727.381,                        29.865,                         5.701,
26/04/2016 13:00:00    ,                      1727.160,                        29.861,                         5.704,
26/04/2016 14:00:00    ,                      1726.620,                        29.863,                         5.709,
26/04/2016 15:00:00    ,                      1726.173,                        29.864,                         5.713,
26/04/2016 16:00:00    ,                      1725.908,                        29.864,                         5.716,
26/04/2016 17:00:00    ,                      1726.044,                        29.866,                         5.715,
26/04/2016 18:00:00    ,                      1726.165,                        29.865,                         5.714,
26/04/2016 19:00:00    ,                      1726.403,                        29.867,                         5.711,
26/04/2016 20:00:00    ,                      1726.604,                        29.866,                         5.709,
26/04/2016 21:00:00    ,                      1726.826,                        29.863,                         5.707,
26/04/2016 22:00:00    ,                      1726.669,                        29.864,                         5.709,
26/04/2016 23:00:00    ,                      1726.862,                        29.864,                         5.707,
27/04/2016 00:00:00    ,                      1726.814,                        29.869,                         5.707,
27/04/2016 01:00:00    ,                      1726.640,                        29.863,                         5.709,
27/04/2016 02:00:00    ,                      1726.512,                        29.866,                         5.710,
27/04/2016 03:00:00    ,                      1726.282,                        29.866,                         5.712,
27/04/2016 04:00:00    ,                      1726.133,                        29.867,                         5.714,
27/04/2016 05:00:00    ,                      1725.988,                        29.864,                         5.715,
27/04/2016 06:00:00    ,                      1726.399,                        29.864,                         5.711,
27/04/2016 07:00:00    ,                      1726.624,                        29.863,                         5.709,
27/04/2016 08:00:00    ,                      1726.689,                        29.868,                         5.708,
27/04/2016 09:00:00    ,                      1726.926,                        29.866,                         5.706,
27/04/2016 10:00:00    ,                      1727.043,                        29.865,                         5.705,
27/04/2016 11:00:00    ,                      1726.661,                        29.865,                         5.709,
27/04/2016 12:00:00    ,                      1726.000,                        29.865,                         5.715,
27/04/2016 13:00:00    ,                      1725.417,                        29.865,                         5.721,
27/04/2016 14:00:00    ,                      1724.962,                        29.866,                         5.726,
27/04/2016 15:00:00    ,                      1724.317,                        29.867,                         5.732,
27/04/2016 16:00:00    ,                      1724.217,                        29.862,                         5.733,
27/04/2016 17:00:00    ,                      1724.181,                        29.866,                         5.733,
27/04/2016 18:00:00    ,                      1724.196,                        29.867,                         5.733,
27/04/2016 19:00:00    ,                      1724.438,                        29.866,                         5.731,
27/04/2016 20:00:00    ,                      1724.591,                        29.866,                         5.729,
27/04/2016 21:00:00    ,                      1724.643,                        29.866,                         5.729,
27/04/2016 22:00:00    ,                      1724.756,                        29.864,                         5.728,
27/04/2016 23:00:00    ,                      1724.901,                        29.866,                         5.726,
28/04/2016 00:00:00    ,                      1724.660,                        29.865,                         5.729,
28/04/2016 01:00:00    ,                      1724.599,                        29.866,                         5.729,
28/04/2016 02:00:00    ,                      1724.189,                        29.864,                         5.733,
28/04/2016 03:00:00    ,                      1723.959,                        29.861,                         5.736,
28/04/2016 04:00:00    ,                      1723.995,                        29.863,                         5.735,
28/04/2016 05:00:00    ,                      1723.895,                        29.867,                         5.736,
28/04/2016 06:00:00    ,                      1723.975,                        29.865,                         5.735,
28/04/2016 07:00:00    ,                      1724.378,                        29.868,                         5.731,
28/04/2016 08:00:00    ,                      1724.752,                        29.865,                         5.728,
28/04/2016 09:00:00    ,                      1724.841,                        29.867,                         5.727,
28/04/2016 10:00:00    ,                      1725.139,                        29.868,                         5.724,
28/04/2016 11:00:00    ,                      1724.998,                        29.865,                         5.725,
28/04/2016 12:00:00    ,                      1724.575,                        29.866,                         5.729,
28/04/2016 13:00:00    ,                      1724.028,                        29.865,                         5.735,
28/04/2016 14:00:00    ,                      1723.561,                        29.867,                         5.740,
28/04/2016 15:00:00    ,                      1723.126,                        29.866,                         5.744,
28/04/2016 16:00:00    ,                      1722.985,                        29.864,                         5.745,
28/04/2016 17:00:00    ,                      1722.860,                        29.866,                         5.747,
28/04/2016 18:00:00    ,                      1723.069,                        29.865,                         5.745,
28/04/2016 19:00:00    ,                      1723.250,                        29.867,                         5.743,
28/04/2016 20:00:00    ,                      1723.468,                        29.867,                         5.741,
28/04/2016 21:00:00    ,                      1723.979,                        29.868,                         5.735,
28/04/2016 22:00:00    ,                      1724.060,                        29.866,                         5.735,
28/04/2016 23:00:00    ,                      1724.003,                        29.869,                         5.735,
29/04/2016 00:00:00    ,                      1724.104,                        29.868,                         5.734,
29/04/2016 01:00:00    ,                      1723.842,                        29.866,                         5.737,
29/04/2016 02:00:00    ,                      1723.581,                        29.866,                         5.739,
29/04/2016 03:00:00    ,                      1723.581,                        29.868,                         5.739,
29/04/2016 04:00:00    ,                      1723.395,                        29.866,                         5.741,
29/04/2016 05:00:00    ,                      1723.230,                        29.866,                         5.743,
29/04/2016 06:00:00    ,                      1723.375,                        29.864,                         5.741,
29/04/2016 07:00:00    ,                      1723.875,                        29.867,                         5.736,
29/04/2016 08:00:00    ,                      1724.016,                        29.868,                         5.735,
29/04/2016 09:00:00    ,                      1724.213,                        29.867,                         5.733,
29/04/2016 10:00:00    ,                      1724.418,                        29.868,                         5.731,
29/04/2016 11:00:00    ,                      1724.213,                        29.868,                         5.733,
29/04/2016 12:00:00    ,                      1723.822,                        29.865,                         5.737,
29/04/2016 13:00:00    ,                      1723.101,                        29.867,                         5.744,
29/04/2016 14:00:00    ,                      1722.671,                        29.868,                         5.749,
29/04/2016 15:00:00    ,                      1722.268,                        29.866,                         5.753,
29/04/2016 16:00:00    ,                      1721.966,                        29.866,                         5.756,
29/04/2016 17:00:00    ,                      1722.131,                        29.867,                         5.754,
29/04/2016 18:00:00    ,                      1722.123,                        29.865,                         5.754,
29/04/2016 19:00:00    ,                      1722.232,                        29.866,                         5.753,
